case ID;resource;activity name
1;A;greeting()
1;U;question(data)
1;A;list(keywords)
1;U;set(keywords)
1;A;prompt(keywords)
1;U;set(keywords)
1;A;list(keywords)
1;U;set(keywords)
1;A;list(keywords)
1;U;set(keywords)
1;A;bool(data)
1;U;success()
2;A;prompt(keywords)
2;U;set(keywords)
2;A;list(keywords)
2;U;confirm()
2;A;link(dataset)
2;U;set(keywords)
2;A;list(keywords)
2;U;set(keywords)
2;A;list(keywords)
2;U;set(keywords)
2;A;link(dataset)
2;U;success()
3;A;greeting()
3;U;greeting()
3;A;greeting()
3;U;question(data)
3;A;prompt(keywords)
3;U;set(keywords)
3;A;list(keywords)
3;U;set(keywords)
3;A;top(keywords)
3;U;success()
4;U;question(data)
4;A;count(data)
4;U;set(keywords)
4;A;list(keywords)
4;U;set(keywords)
4;A;list(keywords)
4;U;question(data)
4;A;list(keywords)
4;U;question(data)
4;A;count(data)
4;U;success()
5;U;question(data)
5;A;list(keywords)
5;U;question(data)
5;A;list(keywords)
5;U;question(data)
5;A;list(keywords)
5;U;set(keywords)
5;A;bool(data)
5;U;set(keywords)
5;A;list(keywords)
5;U;set(keywords)
5;A;list(keywords)
5;U;success()
6;U;question(data)
6;A;list(keywords)
6;U;question(data)
6;A;prompt(keywords)
6;U;set(keywords)
6;A;bool(data)
6;U;confirm()
6;A;list(keywords)
6;U;confirm()
6;A;list(keywords)
6;U;set(keywords)
6;A;prompt(keywords)
6;U;set(keywords)
6;A;confirm()
6;U;question(data)
6;A;list(keywords)
6;U;set(keywords)
6;A;prompt(keywords)
6;U;confirm()
6;A;list(keywords)
6;U;reject()
6;A;prompt(keywords)
6;U;set(keywords)
6;A;bool(data)
6;U;confirm()
6;A;bool(data)
6;U;success()
6;A;success()
7;U;greeting()
7;A;greeting()
7;U;set(keywords)
7;A;prompt(keywords)
7;U;set(keywords)
7;A;confirm()
7;U;question(data)
7;A;prompt(keywords)
7;U;set(keywords)
7;A;list(keywords)
7;U;confirm()
7;A;list(keywords)
7;U;success()
8;A;list(keywords)
8;U;set(keywords)
8;A;list(keywords)
8;U;set(keywords)
8;A;list(keywords)
8;U;set(keywords)
8;A;bool(data)
8;U;set(keywords)
8;A;bool(data)
8;U;confirm()
8;A;list(keywords)
8;U;reject()
8;A;count(data)
8;U;set(keywords)
8;A;list(keywords)
8;U;success()
8;A;list(keywords)
8;U;success()
9;A;prompt(keywords)
9;U;greeting()
9;A;prompt(keywords)
9;U;question(data)
9;A;count(data)
9;U;set(keywords)
9;A;list(keywords)
9;U;set(keywords)
9;A;bool(data)
9;U;reject()
9;A;prompt(keywords)
9;U;set(keywords)
9;A;bool(data)
9;U;set(keywords)
9;A;list(keywords)
9;U;set(keywords)
9;A;link(dataset)
10;U;question(data)
10;A;greeting()
10;U;question(data)
10;A;prompt(keywords)
10;U;question(data)
10;A;list(keywords)
10;U;set(keywords)
10;A;list(keywords)
10;U;set(keywords)
10;A;prompt(keywords)
10;U;set(keywords)
10;A;list(keywords)
10;U;reject()
10;A;list(keywords)
10;U;set(keywords)
10;A;list(keywords)
10;U;confirm()
10;A;list(keywords)
10;U;reject()
10;A;list(keywords)
10;U;confirm()
10;A;list(keywords)
10;U;set(keywords)
10;A;list(keywords)
10;U;more()
10;A;list(keywords)
10;U;more()
10;A;list(keywords)
10;U;confirm()
11;U;question(data)
11;A;list(keywords)
11;U;reject()
11;A;list(keywords)
11;U;confirm()
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;confirm()
11;A;list(keywords)
11;U;set(keywords)
11;A;confirm()
11;U;reject()
11;A;list(keywords)
11;U;reject()
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;reject()
11;A;list(keywords)
11;U;confirm()
11;A;list(keywords)
11;U;more()
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;set(keywords)
11;A;list(keywords)
11;U;prompt(link)
11;A;link(dataset)
12;U;greeting()
12;A;greeting()
12;U;set(keywords)
12;A;confirm()
12;U;confirm()
12;A;prompt(keywords)
12;U;confirm()
13;U;greeting()
13;A;greeting()
13;U;question(data)
13;A;list(keywords)
13;U;set(keywords)
13;A;list(keywords)
13;U;question(data)
13;A;prompt(keywords)
13;U;set(keywords)
13;A;list(keywords)
13;U;set(keywords)
13;A;list(keywords)
13;U;reject()
13;A;list(keywords)
13;U;confirm()
13;A;list(keywords)
13;U;reject()
13;A;list(keywords)
13;U;confirm()
13;A;list(keywords)
13;U;set(keywords)
13;A;list(keywords)
13;U;set(keywords)
13;A;list(keywords)
13;U;confirm()
13;A;link(dataset)
13;U;question(data)
13;A;prompt(keywords)
13;U;confirm()
13;A;list(keywords)
13;U;success()
14;A;prompt(keywords)
14;U;question(data)
14;A;list(keywords)
14;U;set(keywords)
14;A;confirm()
14;U;set(keywords)
14;A;confirm()
14;U;confirm()
14;A;confirm()
14;U;confirm()
14;A;link(dataset)
14;U;success()
14;A;verify()
14;U;confirm()
14;A;success()
14;U;success()
14;A;success()
15;U;question(data)
15;A;list(keywords)
15;U;set(keywords)
15;A;list(keywords)
15;U;confirm()
15;A;list(keywords)
15;U;set(keywords)
15;A;list(keywords)
15;U;confirm()
15;A;list(keywords)
15;U;success()
15;A;success()
16;A;greeting()
16;U;question(data)
16;A;list(keywords)
16;U;set(keywords)
16;A;list(keywords)
16;U;question(data)
16;A;count(data)
16;U;confirm()
16;A;prompt(keywords)
16;U;reject()
17;U;set(keywords)
17;A;confirm()
17;U;set(keywords)
17;A;confirm()
17;A;count(data)
17;U;success()
18;A;greeting()
18;U;question(data)
18;A;list(keywords)
18;U;reject()
18;A;list(keywords)
18;U;reject()
18;A;list(keywords)
18;U;confirm()
18;A;list(keywords)
18;U;set(keywords)
18;A;list(keywords)
18;U;confirm()
18;A;list(keywords)
18;U;reject()
18;A;list(keywords)
18;U;confirm()
18;A;list(keywords)
18;U;set(keywords)
18;A;list(keywords)
18;U;reject()
18;A;verify()
18;U;verify()
18;A;bool(data)
18;U;confirm()
18;A;prompt(link)
18;U;question(data)
18;A;list(keywords)
18;U;set(keywords)
18;A;count(data)
18;U;success()
18;A;success()
19;U;greeting()
19;A;greeting()
19;U;question(data)
19;A;list(keywords)
19;U;set(keywords)
19;A;top(keywords)
19;U;set(keywords)
19;A;list(keywords)
19;U;confirm()
19;A;count(data)
19;U;success()
19;A;success()
20;A;list(keywords)
20;U;set(keywords)
20;A;list(keywords)
20;U;set(keywords)
20;A;prompt(keywords)
20;U;set(keywords)
20;A;confirm()
20;U;set(keywords)
20;A;count(data)
20;U;success()
21;A;greeting()
21;U;greeting()
21;A;prompt(keywords)
21;U;set(keywords)
21;A;count(data)
21;U;question(data)
21;A;link(dataset)
21;U;success()
22;U;question(data)
22;A;list(keywords)
22;U;set(keywords)
22;A;top(keywords)
22;U;set(keywords)
22;A;list(keywords)
22;U;set(keywords)
22;A;count(data)
22;U;reject()
22;A;prompt(keywords)
22;U;reject()
22;A;list(keywords)
22;U;success()
22;A;verify()
22;U;confirm()
22;A;success()
22;U;success()
23;A;list(keywords)
23;U;set(keywords)
23;A;prompt(keywords)
23;U;set(keywords)
23;A;prompt(keywords)
23;U;set(keywords)
23;A;list(keywords)
23;U;confirm()
23;A;prompt(keywords)
23;U;set(keywords)
23;A;link(dataset)
23;U;success()
24;U;question(data)
24;A;list(keywords)
24;U;set(keywords)
24;A;list(keywords)
24;U;set(keywords)
24;A;confirm()
24;U;confirm()
24;A;list(keywords)
24;U;set(keywords)
24;A;confirm()
24;U;set(keywords)
24;A;bool(data)
24;U;reject()
24;A;bool(data)
24;U;set(keywords)
24;A;list(keywords)
24;U;confirm()
24;A;prompt(keywords)
24;U;question(data)
24;A;list(keywords)
24;U;confirm()
24;A;confirm()
24;U;success()
24;A;count(data)
24;U;success()
24;A;success()
25;U;greeting()
25;A;greeting()
25;U;set(keywords)
25;A;count(data)
25;U;set(keywords)
25;A;confirm()
25;U;set(keywords)
25;A;bool(data)
25;U;confirm()
25;A;list(keywords)
25;U;confirm()
25;A;link(dataset)
25;U;success()
26;U;set(keywords)
26;A;list(keywords)
26;U;success()
26;A;success()
26;U;success()
26;A;success()
